Theta 33.600002| s'x 9.867282 | s'y -3.367282 | t'xy 9.422607 
Theta 33.700001| s'x 9.843820 | s'y -3.343820 | t'xy 9.423123 
Theta 33.799999| s'x 9.820277 | s'y -3.320277 | t'xy 9.423524 
Theta 33.900002| s'x 9.796654 | s'y -3.296654 | t'xy 9.423810 
Theta 34.000000| s'x 9.772951 | s'y -3.272952 | t'xy 9.423982 
Theta 34.100002| s'x 9.749168 | s'y -3.249168 | t'xy 9.424038 
Theta 34.200001| s'x 9.725307 | s'y -3.225307 | t'xy 9.423980 
Theta 34.299999| s'x 9.701367 | s'y -3.201368 | t'xy 9.423807 
Theta 34.400002| s'x 9.677348 | s'y -3.177348 | t'xy 9.423519 
Theta 34.500000| s'x 9.653252 | s'y -3.153251 | t'xy 9.423117 
Theta 34.600002| s'x 9.629075 | s'y -3.129075 | t'xy 9.422599 
Theta 34.700001| s'x 9.604822 | s'y -3.104823 | t'xy 9.421967 
Theta 34.799999| s'x 9.580493 | s'y -3.080493 | t'xy 9.421220 
